Symbol,log2FC,p_value,FDR,consistency,significant
LOC651192,0.21577108433734937,0.0009653370976552651,0.0022497412755908704,0.6265060240963856,False
LOC651195,0.007578313253012069,0.856108822497128,0.9016148552875864,0.4939759036144578,False
LOC651196,-0.018939759036144546,0.7396121843775897,0.8142871844274844,0.4819277108433735,False
LOC651197,-0.03946987951807227,0.31997210528588227,0.4279078146702857,0.5783132530120482,False
LOC651200,0.06233734939759038,0.32126222926067177,0.42927442382278336,0.4939759036144578,False
LOC651208,0.020385542168674702,0.634029978588772,0.7299177597655154,0.4819277108433735,False
LOC651212,-0.07021686746987951,0.21759970445101828,0.31296565362018913,0.5783132530120482,False
LOC651213,0.024036144578313243,0.7233667761095788,0.8018846478812882,0.4939759036144578,False
LOC651219,-0.017879518072289158,0.6884671965058922,0.7742973244522501,0.4819277108433735,False
LOC651231,0.0052289156626506095,0.9172447366769357,0.9449162219502427,0.4819277108433735,False
LOC651243,0.25921686746987954,3.761578265766694e-05,0.00010391416123477543,0.7590361445783133,False
LOC651249,-0.005457831325301214,0.8658726911722006,0.9086627037134222,0.4939759036144578,False
LOC651268,0.1639277108433735,0.01618141520530383,0.031361816457635944,0.5421686746987951,False
LOC651270,-0.776144578313253,5.328060276190961e-08,1.983694620610245e-07,0.7108433734939759,False
LOC651272,0.10451807228915666,0.10091514705779614,0.16218847312845625,0.5180722891566265,False
LOC651278,0.4548072289156626,0.00023665363812857377,0.0005963221626377691,0.6987951807228916,False
LOC651280,0.00475903614457834,0.9019560507939877,0.934631204457361,0.5060240963855421,False
LOC651285,-0.2672048192771084,0.171301547980505,0.2567555164451804,0.5542168674698795,False
LOC651286,-0.005710843373494027,0.8808964543802695,0.9189786575892308,0.5421686746987951,False
LOC651287,0.005445783132530136,0.9059368289768285,0.9373314984912826,0.5662650602409639,False
LOC651289,0.06422891566265057,0.1604780407328155,0.24270622176106213,0.5783132530120482,False
LOC651291,0.061879518072289176,0.2077838789707894,0.3013867313425442,0.5180722891566265,False
LOC651293,-0.059542168674698796,0.1121555031275643,0.1777606379393954,0.6144578313253012,False
LOC651296,-0.06361445783132534,0.32955470296672645,0.43810461259762473,0.5662650602409639,False
LOC651301,0.028578313253012032,0.4880389026054216,0.5979152266930857,0.5060240963855421,False
LOC651302,-0.04746987951807222,0.6253752313885251,0.7224105505108117,0.5301204819277109,False
LOC651309,0.6001807228915662,0.0005130433410703662,0.001238313339357696,0.6626506024096386,False
LOC651311,-0.1014457831325301,0.14710906525978268,0.2253832893384914,0.5301204819277109,False
LOC651314,-0.062144578313253006,0.18172802412325087,0.2696664100382351,0.5180722891566265,False
LOC651315,0.06909638554216867,0.08748797693159188,0.14300270708941773,0.5542168674698795,False
LOC651316,-0.7386385542168674,1.899463970214959e-05,5.423994096112758e-05,0.7228915662650602,False
LOC651319,0.0995542168674699,0.042307262280002686,0.07514540816403453,0.5783132530120482,False
LOC651321,0.07075903614457835,0.2934410931486702,0.3995991517520448,0.5180722891566265,False
LOC651324,-0.03806024096385543,0.5240959354413661,0.6324052837655151,0.5783132530120482,False
LOC651325,0.41484337349397593,4.2305317842041075e-06,1.2883017547300993e-05,0.7108433734939759,False
LOC651326,0.007734939759036127,0.8733110819147601,0.9139051387869805,0.4819277108433735,False
LOC651333,0.01815662650602406,0.6143971320633412,0.7126692978155845,0.5060240963855421,False
LOC651337,0.06889156626506024,0.2786720251880714,0.3832830349189637,0.5903614457831325,False
LOC651338,0.05436144578313253,0.21219816595293017,0.30679252908857374,0.5060240963855421,False
LOC651341,-0.057746987951807244,0.17556733905093802,0.26199161810510696,0.5542168674698795,False
LOC651344,0.08630120481927714,0.022172906413094315,0.041907781511821646,0.6626506024096386,False
LOC651345,-0.05661445783132532,0.22951686933729334,0.32701815491127095,0.5060240963855421,False
LOC651347,-0.013493975903614518,0.7994723584152621,0.8597526821530865,0.5662650602409639,False
LOC651348,-0.16515662650602403,0.3066849433581665,0.4139026503465122,0.6024096385542169,False
LOC651353,0.05291566265060242,0.18454662964555035,0.27294147190179646,0.5060240963855421,False
LOC651354,0.006746987951807251,0.872393414221696,0.9133692264418071,0.4819277108433735,False
LOC651357,0.048108433734939726,0.24182216962994593,0.3415286734794773,0.5903614457831325,False
LOC651361,0.005843373493975881,0.8660696526509696,0.908831908734095,0.5421686746987951,False
LOC651362,0.03809638554216868,0.2901653123459025,0.39606210677539216,0.4939759036144578,False
LOC651369,-0.34998795180722897,0.00323209793584663,0.006995454440015167,0.6144578313253012,False
LOC651371,0.09663855421686746,0.1861536926308696,0.2749027654570919,0.5662650602409639,False
LOC651372,0.43310843373493985,9.463898185052934e-05,0.0002496490769678003,0.6867469879518072,False
LOC651373,7.2289156626482e-05,0.9986812734952746,0.9989954229993624,0.5421686746987951,False
LOC651380,-0.9151325301204818,4.596577521438219e-17,4.655132649099852e-16,0.8795180722891566,False
LOC651381,0.011325301204819282,0.7837783006588949,0.8476785912390346,0.5301204819277109,False
LOC651386,0.10865060240963856,0.005551097170045806,0.01162686579993128,0.6024096385542169,False
LOC651390,0.23919277108433737,0.0007863904631484718,0.0018527295223649863,0.6024096385542169,False
LOC651398,-0.002542168674698788,0.9646535542210215,0.9763591175405923,0.4819277108433735,False
LOC651400,0.024120481927710852,0.5867367931565093,0.6891706454878196,0.4939759036144578,False
LOC651401,0.048204819277108436,0.3644046774331671,0.47560306761234206,0.5180722891566265,False
LOC651403,-0.036963855421686745,0.35496039775254346,0.465329924704973,0.5903614457831325,False
LOC651404,0.031915662650602444,0.573174698885322,0.6774647863484654,0.5662650602409639,False
LOC651407,0.03451807228915663,0.5090266082538799,0.6177967136099759,0.5542168674698795,False
LOC651410,0.037493975903614446,0.4126123989489318,0.5247380238582696,0.5542168674698795,False
LOC651423,-0.03466265060240972,0.6711906664456829,0.7605492207197084,0.5060240963855421,False
LOC651427,-0.0034698795180722656,0.9354360681069694,0.956760084133048,0.5180722891566265,False
LOC651429,0.015722891566265024,0.8087350169801728,0.8665747970674583,0.5301204819277109,False
LOC651430,0.027277108433734938,0.5763781490912637,0.6801253419229257,0.4819277108433735,False
LOC651436,-0.5306024096385543,1.2640537376186895e-11,6.911192834819192e-11,0.7590361445783133,False
LOC651441,0.22740963855421686,0.0048826191723757,0.010305636086056402,0.5903614457831325,False
LOC651450,0.03436144578313254,0.5973402399398619,0.6984894146014932,0.5421686746987951,False
LOC651453,-0.25307228915662644,0.021650959601846223,0.041003529537033276,0.5662650602409639,False
LOC651454,-0.014060240963855419,0.7501270190019116,0.8217738077430295,0.5301204819277109,False
LOC651460,0.045084337349397575,0.21532149598453418,0.3104376421785076,0.5783132530120482,False
LOC651463,-0.07049397590361446,0.1634408087579353,0.24657143893742953,0.5180722891566265,False
LOC651465,0.0776987951807229,0.07809292605332849,0.12945940562991506,0.5662650602409639,False
LOC651467,0.016590361445783144,0.6850391619660469,0.7715835962148809,0.5301204819277109,False
LOC651468,-0.1065301204819277,0.02133920021058104,0.040455268899111836,0.6626506024096386,False
LOC651469,0.23963855421686747,0.0010001683660961673,0.002324527976748264,0.6144578313253012,False
LOC651476,0.009289156626505996,0.8195173280034256,0.8749221882750912,0.5060240963855421,False
LOC651477,-0.044530120481927754,0.27589099746553436,0.38027127786331444,0.5180722891566265,False
LOC651481,-0.004409638554216863,0.9029097662821591,0.9351125502858835,0.37349397590361444,False
LOC651483,0.018746987951807192,0.7240170252496366,0.802270317194875,0.5542168674698795,False
LOC651493,0.037530120481927685,0.4129722470668438,0.5250906620042237,0.5421686746987951,False
LOC651495,0.08592771084337351,0.049524455498465784,0.08649124524515697,0.5903614457831325,False
LOC651503,0.04545783132530124,0.4070166598500955,0.5193611790433079,0.5542168674698795,False
LOC651506,-0.16172289156626507,0.006276693772117944,0.01303502771940249,0.6867469879518072,False
